Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
FMC OAK RIDGE,442513,0.01,45
DCI EAST RIDGE,442514,0,63
MORRISTOWN DIALYSIS,442517,0,61
DCI CUMBERLAND,442518,0.005,54
FMC BRISTOL,442519,0.005,54
FMC EASTERN TENNESSEE,442522,0,67
FMC EAST MEMPHIS,442524,0.005,50
"BIO-MEDICAL APPLICATION OF TENNESSEE, INC.",442527,0.005,55
DCI MURFREESBORO,442528,0.015,32
DCI MARYVILLE,442531,0,62
DCI HUMBOLDT,442532,0,61
DYERSBURG DIALYSIS,442533,0.005,49
DCI DICKSON,442536,0.01,47
FMC LAFOLLETTE,442537,0.005,50
DCI BROWNSVILLE,442538,0.015,38
COLUMBIA DIALYSIS,442539,0,70
WHITEBRIDGE DIALYSIS,442540,0,71
DCI SOUTHERN HILLS,442541,0,72
MURFREESBORO DIALYSIS,442549,0.015,37
FMC WEST KNOXVILLE,442553,0,84
DCI CHATTANOOGA BROAD ST,442555,0,64
CLARKSVILLE DIALYSIS,442556,0.005,54
DCI PARIS,442562,0,70
DCI MEDICAL CENTER,442564,0,64
DCI HIXSON,442565,0.015,37
DCI DAYTON,442566,0,67
APPALACHIAN DIALYSIS,442567,0.005,58
FMC MEMPHIS,442569,0.01,40
DCI CLARKSVILLE HWY,442572,0,69
MEMPHIS CENTRAL DIALYSIS,442573,0.005,51
FMC ROANE COUNTY,442574,0.005,58
MEMPHIS EAST DIALYSIS,442576,0.01,46
FMC KINGSPORT,442577,0.015,36
FMC BRADLEY,442579,0,65
DCI LEBANON,442581,0,73
VANDERBILT DIALYSIS CLINIC,442583,0.01,40
DCI SHELBYVILLE,442586,0,77
WILLIAMSON COUNTY DIALYSIS,442587,0.01,48
DCI SEVIERVILLE,442589,0,66
FMC GRACELAND,442591,0.01,42
SELMER DIALYSIS,442592,0,79
FMC NORTH MEMPHIS,442593,0,64
DCI SUMMIT,442594,0,68
FMC ATHENS,442595,0,72
DCI LYERLY,442596,0.01,47
HUMBOLDT DIALYSIS,442598,0,75
BROWNSVILLE DIALYSIS,442599,0,65
NORTH JACKSON DIALYSIS,442600,0.01,45
BOLIVAR DIALYSIS,442601,0,60
FMC TIPTON COUNTY,442603,0,76
TIPTON COUNTY DIALYSIS,442604,0.005,55
U.S. RENAL CARE SOUTH MEMPHIS DIALYSIS,442605,0.005,55
FMC WEST KINGSPORT,442606,0.01,48
CAMDEN DIALYSIS,442607,0.015,35
RCG PULASKI,442608,0,67
DIALYSIS ASSOC. HOME TRAINING,442609,0.01,39
FMC MEMPHIS MIDTOWN,442610,0,61
GALLERIA DIALYSIS,442611,0,65
FMC COLUMBIA,442613,0,65
RCG SPRINGFIELD,442614,0.005,57
RCG WEST NASHVILLE,442615,0.005,57
RCG GALLATIN,442616,0.01,43
HERMITAGE DIALYSIS,442617,0,60
FMC MORRISTOWN,442618,0.005,52
RCG MARTIN,442619,0,62
FMC MOUNTAIN CITY,442621,0,75
LEXINGTON DIALYSIS,442622,0.005,53
SUMNER DIALYSIS,442623,0,76
RCG TULLAHOMA,442624,0,71
FMC WHITEHAVEN,442625,0.005,51
DCI JASPER,442626,0,62
RCG MADISON,442627,0.005,53
FMC ELK RIVER DIALYSIS,442629,0,63
RCG FRANKLIN,442630,0,70
PICKWICK DIALYSIS,442632,0,85
FMC LOUDON DIALYSIS,442634,0,69
DCI HOLSTON RIVER CLINIC,442635,0.005,56
ISD RENAL INC,442637,0.005,57
DCI HOME TRAINING OF MIDDLE TN,442638,0.005,57
"TOTAL RENAL CARE, INC.",442639,0,60
RENAL CARE OF MEMPHIS NORTH,442640,0.005,51
DIALYSIS ASSOC. OF EAST NASHVILLE,442642,0,65
FMC PORTLAND,442643,0,75
FMC DIALYSIS FORT SANDERS,442644,0,59
DIALYSIS ASSOC. OF MURFREESBORO-HT,442645,0.015,33
ISD RENAL INC,442646,0.005,56
FMC MEMPHIS GERMANTOWN,442647,0,69
COLLIERVILLE DIALYSIS,442648,0,63
MEMPHIS SOUTH DIALYSIS,442649,0,75
ISD RENAL INC,442650,0,65
CHATTANOOGA KIDNEY CENTER,442651,0.005,56
FMC DIALYSIS ASSOC. OF SMYRNA,442653,0,60
VANDERBILT DIALYSIS CLINIC EAST,442654,0.01,44
ISD RENAL INC,442655,0.005,51
CROSSVILLE DIALYSIS CLINIC,442656,0.005,51
RCG UNION CITY,442657,0.005,56
FMC DIALYSIS NEWPORT,442658,0,74
FMC COLLIERVILLE,442659,0.005,56
U.S. RENAL CARE GALLERIA DIALYSIS,442660,0.005,49
DCI BEECH LAKE,442661,0,70
RCG MCMINNVILLE,442662,0,78
MCMINNVILLE DIALYSIS CLINIC,442663,0,85
RCG WINCHESTER,442664,0.005,49
MANCHESTER DIALYSIS CLINIC,442665,0,65
DAVITA TENNESSEE VALLEY DIAL CNTR,442666,0.005,57
TN SMOKIE MOUNTAIN DIALYSIS,442668,0.015,37
LIVINGSTON TN DIALYSIS,442669,0,76
DAVITA DIALYSIS,442670,0.01,47
DAVITA SMYRNA,442671,0,65
CLARKSVILLE NORTH DIALYSIS,442672,0.015,36
FMC NEW MARKET,442673,0,69
DAVITA MEMPHIS SOUTHEAST,442674,0.015,38
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442675,0,77
ROCKY TOP DIALYSIS,442676,0,77
"DIALYSIS ASSOCIATES, LLC",442677,0,70
MEMPHIS GALLERIA HOMETRAINING,442678,0.005,58
"CHATTANOOGA KIDNEY CENTER NORTH, LLC",442679,0,78
FMC SEVIERVILLE,442680,0,68
KNOXVILLE CENTRAL DIALYSIS,442681,0,61
DAVITA MEMPHIS DOWNTOWN,442682,0.01,41
DAVITA SOMERVILLE,442683,0.005,57
FMC ELIZABETHTON,442684,0.005,53
CLINCH RIVER DIALYSIS,442686,0,65
KIDNEY CENTER OF CLEVELAND,442687,0,70
FMC LAWRENCEBURG,442688,0,65
DAVITA MILLINGTON,442689,0.005,54
FMC POWELL,442690,0,74
FMC SKYWAY,442691,0,68
CAPELVILLE DIALYSIS CENTER,442692,0.015,38
FMC MILLINGTON,442693,0.005,57
SATELLITE HEALTHCARE OF POPLAR AVENUE LLC,442694,0.005,52
NRA-MEMPHIS (SOUTH),442695,0,71
RIPLEY DIALYSIS CENTER,442696,0,62
RAI GALLATIN,442698,0.015,31
NASHVILLE HOME TRAINING DIALYSIS,442699,0.01,44
KINGSTON DIALYSIS,442700,0.005,57
FMC EAST MEMPHIS HOME THERAPIES,442701,0.005,51
FMC MT MORIAH DIALYSIS,442702,0.005,53
FMC BARTLETT,442703,0.005,53
MEMPHIS MIDTOWN DIALYSIS,442704,0,64
RAI LEBANON,442705,0.005,57
FMC CEDAR BLUFF,442707,0.005,51
DAVITA SPARTA,442708,0,68
DAVITA WOLF RIVER DIALYSIS,442709,0.015,35
DAVITA STATE LINE,442710,0.01,48
ISD BARTLETT LLC,442711,0,72
FMC HENDERSONVILLE,442712,0.005,58
KIDNEY CENTER OF HWY 58,442713,0.005,52
DAVITA SOUTH JACKSON,442714,0.01,46
"TOTAL RENAL CARE, INC.",442715,0,87
"SANDLIN DIALYSIS, LLC",442716,0,61
"DIALYSIS ASSOCIATE, LLC",442717,0,63
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442718,0.01,44
"KIDNEY CENTER OF MISSIONARY RIDGE, LLC",442719,0,77
"FRESENIUS MEDICAL CARE BARTLETT HOME, LLC",442720,0.015,30
TANNOR DIALYSIS LLC,442721,0.015,38
DSI MEMPHIS LLC,442722,0,62
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442723,0,59
FMC SUMMER,442724,0,61
"DIALYSIS CLINIC, INC. - WAVERLY",442725,0,60
EAST TENNESSEE DIALYSIS CENTER,442726,0.02,0
"SATELLITE HEALTHCARE SOUTH GERMANTOWN, LLC",442727,0.005,56
BIO-MEDICAL APPLICATIONS OF TENNESSEE,442728,0,68
"SATELLITE HEALTHCARE CHICKASAW GARDENS, LLC",442730,0.01,47
BIO-MEDICAL APPLICTIONS OF TENNESSEE INC,442731,0.005,51
WELLBOUND OF MEMPHIS LLC,442732,0.01,41
"TOTAL RENAL CARE, INC.",442733,0,66
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC",442734,0.01,48
"FMC SOUTH AIRWAYS, LLC",442735,0.02,28
SRS-NASHVILLE HH LLC,442736,0.02,25
"TOTAL RENAL CARE, INC",442737,0,82
ISD RENAL INC,442738,0,77
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC",442739,0.005,50
"DESCHUTES DIALYSIS, LLC",442740,0,63
DIALYSIS CARE CENTER CROSSVILLE LLC,442741,0.015,31
"RAVALLI DIALYSIS, LLC",442742,0.005,54
TOTAL RENAL CARE INC,442743,0.01,47
"TOTAL RENAL CARE, INC",442744,0.005,50
VANDERBILT UNIVERSITY MEDICAL CENTER,442745,0.015,33
DIALYSIS CARE CENTER TIPTON COUNTY LLC,442746,0.01,44
"HECKSCHER DIALYSIS, LLC",442747,0,65
"CAHABA DIALYSIS, LLC",442748,0,0
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442749,0,0
DIALYSIS CLINIC INC,442750,0,0
"TOTAL RENAL CARE, INC.",442751,0,0
"FRESENIUS MEDICAL CARE GOODLETTSVILLE, LLC",442752,0,0
DIALYSIS CLINIC INC. (CAMP OKAWEHNA),442900,0,0
UNIV OF TEXAS MEDICAL BRANCH,452303,0,64
CHILDREN'S MEMORIAL HERMANN DIALYSIS CENTER,452309,0,92
TEXAS CHILDRENS HOSPITAL DIALYSIS UNIT,452333,0,63
CHILDRENS MEDICAL CENTER DIALYSIS UNIT,452344,0.01,43
COOK CHILDRENS MEDICAL CENTER DIALYSIS UNIT,452358,0.005,50
CHRISTUS CHILDRENS KIDNEY CENTER,452372,0,100
WILBARGER GENERAL HOSPITAL DIALYSIS OF VERNON,452374,0,68
REEVES COUNTY HOSPITAL DIALYSIS CENTER,452378,0,82
WISE REGIONAL HEALTH SYSTEM DIALYSIS CENTER,452379,0.005,54
DRISCOLL CHILDREN'S HOSPITAL DIALYSIS UNIT,452380,0,0
CHILDRESS REGIONAL MEDICAL CENTER DIALYSIS,452385,0,78
UNIVERSITY HEALTH SYSTEM CHILDREN'S KIDNEY CENTER,452388,0,84
MIDTOWN KIDNEY CENTER,452500,0.005,49
FRESENIUS MEDICAL CARE PD SERVICES OF DALLAS,452501,0,61
DIALYSIS CENTER OF LUBBOCK,452506,0.005,56
FRESENIUS MEDICAL CARE WESTOVER HILLS,452507,0.005,55
FRESENIUS MEDICAL CARE MCALLEN,452508,0,65
FRESENIUS MEDICAL CARE NORTH TEXAS,452510,0,59
FRESENIUS MEDICAL CARE ABILENE,452511,0.005,57
FRESENIUS MEDICAL CARE PERMIAN BASIN,452512,0,79
FRESENIUS MEDICAL CARE AMARILLO HIGH PLAINS,452513,0,61
CORPUS CHRISTI DIALYSIS,452514,0.005,50
VALLEY HEMODIALYSIS CENTER,452517,0,62
SATELLITE HEALTHCARE NORTH LAREDO,452518,0,64
WEST HOUSTON DIALYSIS CENTER,452519,0,89
ISLAND DIALYSIS,452520,0.005,56
NNA SAN MARCOS,452522,0,67
GOLDEN TRIANGLE DIALYSIS CENTER,452524,0,65
FRESENIUS MEDICAL CARE BRAZOS,452526,0.005,54
"RENAL CENTER OF NORTH DENTON, LLLP",452528,0.005,50
SAN JACINTO DIALYSIS,452530,0.005,58
WATSON WISE DIALYSIS CENTER,452532,0,74
SOUTHEAST KIDNEY CENTER,452533,0.005,52
ALICE RENAL CENTER,452537,0,63
CYPRESS CREEK DIALYSIS,452539,0.005,49
KIDNEY DISEASE CLINIC OF UVALDE,452540,0,78
FRESENIUS MEDICAL CARE EAGLE PASS,452541,0,68
FRESENIUS MEDICAL CARE ROSENBERG,452542,0.005,57
SOUTHSIDE KIDNEY DISEASE CLINIC,452544,0,63
KERRVILLE DIALYSIS,452546,0,68
COLLEGE STATION DIALYSIS,452550,0.005,56
TEXARKANA REGIONAL DIALYSIS,452552,0.005,54
FRESENIUS MEDICAL CARE CORSICANA,452553,0,70
CARTHAGE DIALYSIS CENTER,452556,0.005,55
"FRESENIUS MEDICAL CARE SAN ANTONIO, LLC",452557,0,91
FRESENIUS MEDICAL CARE BROWNWOOD,452559,0,89
FRESENIUS MEDICAL CARE FONDREN,452560,0,62
FRESENIUS MEDICAL CARE IRVING,452561,0,64
"FRESENIUS MEDICAL CARE EAST FORT WORTH, LLC",452563,0.01,39
FRESENIUS MEDICAL CARE LUBBOCK,452568,0,66
LIVE OAK DIALYSIS,452570,0,73
SOUTHWEST SAN ANTONIO DIALYSIS CENTER,452571,0.005,54
MED CENTER DIALYSIS,452572,0.01,45
FRESENIUS MEDICAL CARE NORTH HOUSTON,452574,0.005,53
FRESENIUS MEDICAL CARE BAYTOWN DIALYSIS,452575,0,72
FRESENIUS MEDICAL CARE SOUTHWEST HOUSTON DIALYSIS CENTER,452576,0.005,53
RENAL CENTER OF BEAUMONT,452577,0.005,50
US RENAL CARE TARRANT DIALYSIS FORT WORTH,452579,0.01,48
US RENAL CARE TARRANT DIALYSIS ARLINGTON,452580,0.01,39
FRESENIUS MEDICAL CARE ENNIS,452582,0,79
HEB DIALYSIS CENTER,452583,0,72
HOUSTON DIALYSIS,452584,0,60
WESLACO DIALYSIS FACILITY,452585,0,60
SAN ANTONIO WEST DIALYSIS,452587,0,63
SOUTH ARLINGTON DIALYSIS CENTER,452592,0,62
FRESENIUS MEDICAL CARE SOUTHWEST FORT WORTH,452594,0.005,54
KIDNEY DISEASE CLINIC OF CENTRAL SAN ANTONIO,452595,0.005,53
MT PLEASANT DIALYSIS CENTER,452598,0,69
FRESENIUS MEDICAL CARE AUSTIN SOUTH,452602,0,75
WEST TEXAS DIALYSIS CENTER,452604,0,77
SOUTHWEST SAN ANTONIO DIALYSIS,452605,0.005,55
CLEAR LAKE KIDNEY CENTER,452609,0.005,51
FRESENIUS MEDICAL CARE BELLMEAD,452610,0,85
PALESTINE DIAYSIS CENTER,452611,0.005,57
SAGEMONT DIALYSIS,452612,0.005,50
KIDNEY TREATMENT CENTER SAN ANTONIO INC,452615,0.01,42
ROSEDALE KIDNEY DISEASE CENTER,452616,0.005,57
AMERI-TECH KIDNEY CENTER-ARLINGTON LLC,452618,0.01,44
BAY AREA DIALYSIS CORPUS CHRISTI,452619,0,63
BAY AREA DIALYSIS SERVICES AT KINGSVILLE,452620,0,59
MIDLAND DIALYSIS,452622,0,66
STONE OAK DIALYSIS,452623,0.005,52
MARSHALL DIALYSIS CENTER,452624,0,66
NEW BRAUNFELS KIDNEY DISEASE CLINIC,452626,0,62
KILLEEN KIDNEY CENTER,452629,0,70
FRESENIUS MEDICAL CARE CALALLEN,452630,0,76
BMA NORTHWEST BEXAR COUNTY,452631,0.005,49
BAY AREA DIALYSIS SINTON,452633,0,74
MAINLAND DIALYSIS,452635,0.01,40
SOUTH TEXAS DIALYSIS CENTER,452636,0,66
US RENAL CARE TARRANT DIALYSIS SOUTH FORT WORTH,452637,0.01,47
BMA SOUTHEAST SAN ANTONIO,452638,0,65
LUFKIN DIALYSIS CENTER,452639,0.005,56
FRESENIUS MEDICAL CARE EL PASO GATEWAY,452640,0,63
BRENHAM DIALYSIS,452641,0.005,52
NORTHWEST KIDNEY CENTER,452642,0,69
CLEBURNE DIALYSIS CENTER,452644,0,72
BAY AREA DIALYSIS SERVICES AT ARANSAS PASS,452645,0,0
KINGWOOD DIALYSIS CENTER,452646,0,78
CHANNELVIEW DIALYSIS,452647,0.01,40
RENAL CENTER OF LEWISVILLE,452648,0,62
CENTRAL CITY DIALYSIS,452651,0,63
DIALYSIS CARE OF MCALLEN,452654,0.005,57
AMERI-TECH KIDNEY CENTER-BEDFORD LLC,452655,0,81
US RENAL CARE TARRANT DIALYSIS TARRANT COUNTY,452656,0.005,53
VICTORIA DIALYSIS CENTER,452658,0.01,48
FRESENIUS MEDICAL CARE HEREFORD,452660,0,70
LIVINGSTON DIALYSIS CENTER,452661,0,66
HUNTSVILLE DIALYSIS,452663,0.01,48
US RENAL CARE RIO GRANDE DIALYSIS,452664,0,72
DENISON DIALYSIS CENTER,452665,0.005,55
FRESENIUS MEDICAL CARE RIO GRANDE CITY,452666,0,78
OMNI DIALYSIS  CENTER,452667,0,65
FRESENIUS MEDICAL CARE WEST BEXAR,452668,0,67
LIBERTY DAYTON DIALYSIS FACILITY,452669,0,81
NORTHWEST HOUSTON DIALYSIS CTR,452671,0.005,52
WESLACO RENAL CENTER,452672,0,69
FRESENIUS MEDICAL CARE TRI CITY,452673,0,70
FRESENIUS MEDICAL CARE CLIFFVIEW,452674,0.005,50
NORTHSTAR DIALYSIS CENTER,452675,0.015,36
LONE STAR DIALYSIS,452676,0.015,38
CENTRAL HOUSTON DIALYSIS,452677,0.01,48
NORTH HOUSTON DIALYSIS CENTER,452678,0,63
BMA DALLAS SOUTH,452679,0,62
FARMERS BRANCH DIALYSIS CENTER,452682,0,59
BMA DALLAS CENTRAL,452684,0,72
METRO EAST DIALYSIS CENTER,452685,0,77
COLLIN COUNTY DIALYSIS CENTER,452686,0.005,52
SOUTH OAK CLIFF DIALYSIS CENTER,452687,0.01,45
VILLAGE II DIALYSIS CENTER,452688,0,71
TRINITY DIALYSIS CENTER,452689,0.01,47
TOWN GATE DIALYSIS CENTER,452690,0,65
BAY AREA DIALYSIS SERVICES AT ALICE,452692,0,69
SWISS AVENUE DIALYSIS CENTER,452693,0.005,58
DIALYLSIS CARE OF GREENVILLE,452694,0,69
WATERLOO DIALYSIS CENTER,452696,0.005,54
FMC SOUTH DALLAS COUNTY,452697,0.01,48
REDBIRD DIALYSIS CENTER,452699,0,61
WALNUT HILL DIALYSIS CENTER,452702,0,59
BROOKRIVER DIALYSIS,452703,0,73
RELIANT DIALYSIS,452705,0,74
NORTH LOOP EAST DIALYSIS,452706,0,68
CIELO VISTA DIALYSIS,452707,0,79
CONROE DIALYSIS,452708,0.005,53
WESTMINSTER DIALYSIS,452709,0.005,57
NORTHEAST TEXAS DIALYSIS,452710,0,61
NNA - NORTH,452711,0,60
MISSION KIDNEY CENTER,452714,0,72
DAVITA COASTAL DIALYSIS,452715,0.005,51
FMC CROWN OF TEXAS,452718,0,63
WEATHERFORD DIALYSIS CENTER,452719,0,59
DAVITA  WEST,452720,0,68
GUADALUPE KIDNEY DISEASE CL,452722,0,71
EL MILAGRO DIALYSIS CENTER,452727,0.005,53
SPRING BRANCH DIALYSIS,452728,0.005,58
CLEVELAND DIALYSIS CENTER,452731,0.015,36
SATELLITE HEALTHCARE SOUTH LAREDO,452732,0,64
FLORESVILLE DIALYSIS,452733,0,70
DAVITA-GONZALES,452734,0,91
BAY AREA DIALYSIS SOUTHSIDE,452735,0.005,58
UT SOUTHWESTERN - DALLAS DIALYSIS,452736,0.005,49
NRI BROWNSVILLE,452737,0.005,56
FMC EAST CENTRAL HOUSTON,452738,0.005,58
FMC NORTH BUCKNER DIALYSIS CENTER,452739,0.005,57
GAMBRO HEALTHCARE PEARSALL,452740,0,76
DAVITA - LOMA VISTA DIALYSIS,452741,0.005,54
DSI BEEVILLE RENAL CENTER,452742,0,68
TOMBALL DIALYSIS CENTER,452743,0,62
LONGVIEW DIALYSIS CENTER,452744,0.01,46
BAYSHORE DIALYSIS CENTER,452745,0,66
SOUTH SAN ANTONIO DIALYSIS CENTER,452747,0.005,58
RCG PARIS,452748,0,70
US RENAL CARE EAST EL PASO DIALYSIS,452749,0.005,53
MEDICAL CENTER KIDNEY CLINIC,452750,0.005,56
DSI RIVERSIDE RENAL CENTER,452751,0.01,40
NORTHEAST FT WORTH DIALYSIS CT,452752,0,73
FALLS COUNTY KIDNEY CENTER,452753,0,93
"TEXAS CITY DIALYSIS, LP",452754,0.01,43
DAVITA - MEMORIAL DIALYSIS CENTER,452755,0,69
SNG - SANDCASTLE DIALYSIS CENTER,452757,0,64
DAVITA MESA VISTA DIALYSIS,452758,0.005,52
FRESENIUS MEDICAL CARE PAMPA,452760,0,72
KATY DIALYSIS CENTER,452761,0,68
CYFAIR DIALYSIS CENTER,452762,0.005,57
"RENAL CENTER OF PORT ARTHUR, LLC",452763,0.005,49
NRI - EDINBURG,452764,0,59
US RENAL CARE MEDINA COUNTY DIALYSIS,452765,0,73
FRESENIUS MEDICAL CARE EDINBURG KIDNEY CENTER,452767,0,71
FRESENIUS KIDNEY CARE TRAILBLAZER LLC,452768,0,63
HILL COUNTRY DIALYSIS,452769,0,60
ALVIN DIALYSIS CENTER,452772,0.01,44
UT SOUTHWESTERN - OAKCLIFF DIALYSIS,452773,0,62
RENAL TREATMENT CENTER SOUTHEAST LP,452774,0.005,51
FOURTH STREET DIALYSIS,452776,0.005,58
FMC - ALAMO CITY DIALYSIS,452777,0,71
FT BEND DIALYSIS CTR,452778,0.005,54
NNA - ROUNDROCK,452779,0.005,58
HOUSTON KIDNEY CTR SOUTHWEST,452780,0.015,38
FMC - VILLAGE OAKS KIDNEY DISEASE CLINC,452781,0.005,54
FMC CARIZZO SPRINGS KIDNEY DISEASE CLINIC,452782,0,73
MONCRIEF DIALYSIS CENTER,452783,0,60
HOUSTON KIDNEY CENTER CYPRESS STATION,452784,0.005,55
WEST TYLER DIALYSIS,452785,0,74
MISSOURI CITY DIALYSIS,452786,0,71
SPRING DIALYSIS,452787,0.01,43
SATELLITE HEALTHCARE KYLE,452788,0,76
SATELLITE HEALTHCARE MUELLER,452789,0.005,56
SATELLITE DIALYSIS METRIC,452790,0.005,50
"DCI DIALYSIS CARE SERVICES,INC",452791,0,65
LUBBOCK DIALYSIS CENTER-REDBUD,452792,0.005,52
FMC DIALYSIS SERVICES TERRELL,452793,0,69
FRESENIUS MEDICAL CARE KAUFMAN,452794,0.005,58
LOCKEHILL KIDNEY DISEASE CLINIC,452796,0,80
SATELLITE DIALYSIS SOUTHWOOD,452797,0,71
NEW BRAUNFELS DIALYSIS,452798,0,67
US RENAL CARE TARRANT DIALYSIS CENTRAL FORT WORTH,452799,0.005,50
DAVITA MORGAN AVENUE,452800,0.005,58
"QUALITY DIALYSIS TWO, INC",452801,0.01,45
"RENAL CENTER OF ORANGE, LLC",452802,0,65
HENDERSON DIALYSIS CENTER,452803,0.005,55
KIDNEY TREATMENT CENTER EAST,452804,0,65
FRESENIUS MEDICAL CARE GRANBURY LLC,452805,0.005,56
TEMPLE KIDNEY CENTER,452806,0,79
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC",452808,0.015,32
US RENAL CARE WEST EL PASO DIALYSIS,452809,0,67
NORTH CENTRAL KIDNEY DISEASE CENTER,452811,0,70
FRESENIUS MEDICAL CARE HENDERSON COUNTY,452812,0,60
FMC DIALYSIS SERVICES VISTA DEL SOL,452813,0.01,47
FMC DIALYSIS SERVICES OF MCKINNEY,452814,0.005,51
BROADWAY KIDNEY DISEASE CENTER,452816,0,77
HARLINGEN DIALYSIS,452817,0.005,56
TEXAS RENAL VENTURES,452819,0.005,56
USRC MCALLEN DIALYSIS,452820,0,62
KIRBY KIDNEY DISEASE CENTER,452821,0,61
DALLAS EAST DIALYSIS,452822,0,79
US RENAL CARE LAREDO DIALYSIS,452823,0.005,52
NNA - BASTROP,452825,0,63
FMC DIALYSIS SERVICES WAXAHACHIE,452826,0,64
NNA - MARBLE FALLS,452827,0,74
FMC DIALYSIS SERVICES SOUTHWESTERN,452828,0,75
KIDNEY TREATMENT CENTER NORTHWEST PA,452829,0,62
KIDNEY CENTER OF JASPER,452830,0,61
FMC DIALYSIS SERVICES WACO WEST,452831,0,76
DIALYSIS SERVICES OF GRAPEVINE,452832,0,62
KATY CINCO RANCH DIALYSIS,452833,0.01,48
US RENAL CARE WEBSTER DIALYSIS,452834,0,61
BEAUMONT KIDNEY CENTER,452835,0.015,36
FMC HARLINGEN,452836,0.01,40
BIO-MEDICAL APPLICATIONS OF TEXAS INC.,452837,0,72
USRC TARRANT DIALYSIS CENTER NORTH FORT WORTH,452838,0.005,55
US RENAL CARE HOME THERAPIES,452840,0.01,46
DCI CENTER,452841,0,71
CHILDRENS DIALYSIS CLINIC OF CENTRAL TEXAS,452842,0,80
FMC DIALYSIS SERVICES OF DICKINSON,452844,0.005,58
TRC PEARLAND DIALYSIS,452845,0.005,52
FMC DIALYSIS SERVICES OF NORTH BROWNSVILLE,452846,0.005,52
PIN OAK DIALYSIS,452847,0,66
FMC DIALYSIS SERVICES PLAINVIEW,452848,0,69
RCG MINEOLA DIALYSIS,452849,0,77
FMC DIALYSIS SERVICES OF PEARLAND,452850,0,69
US RENAL CARE GATEWAY DIALYSIS,452851,0.005,54
SATELLITE HEALTHCARE SOUTHEAST LAREDO,452853,0,67
RENAL CARE GROUP - ROBSTOWN,452854,0,79
USRC TARRANT DIALYSIS CENTER - GRAND PRAIRIE,452855,0,75
"RENAL CENTER OF NEDERLAND, LLC",452856,0,72
HOME KIDNEY CARE,452857,0,66
MISSION HILLS DIALYSIS,452858,0,66
JACKSONVILLE DIALYSIS CENTER,452859,0,71
SNG - SOHUM SOUTHEAST HOUSTON DIALYSIS CENTER LP,452860,0.015,29
FMC DIALYSIS SERVICES OF ABILENE SOUTH,452861,0,74
FMC MEYERLAND,452862,0,79
GRAND PRAIRIE DIALYSIS CENTER INC,452863,0,71
FMC DIALYSIS SERVICES OF SOUTHWEST SAN ANTONIO,452864,0,77
FMC DIALYSIS SERVICES OF INGRAM,452865,0.005,53
AMARILLO DIALYSIS,452866,0.01,42
RENAL CENTER OF TYLER,452867,0.005,58
BROOKHOLLOW DIALYSIS,452868,0,68
SUGARLAND DIALYSIS,452869,0.02,22
US RENAL CARE MID VALLEY WESLACO DIALYSIS,452870,0,60
VALLEY DIALYSIS OF MCALLEN,452872,0.01,47
ODESSA DIALYSIS,452873,0,61
DAVITA PHYSICIANS DIALYSIS NORTH HOUSTON,452875,0.005,52
"SNG-RENAL SOLUTIONS DIALYSIS CENTER, LP",452877,0.02,27
MATAGORDA DIALYSIS CARE,452878,0.005,58
BEECHNUT DIALYSIS,452880,0.015,31
"SATELLITE HEALTH CARE, INC.",452881,0.005,51
FRESENIUS MEDICAL CARE TYLER HOME DIALYSIS,452882,0.005,54
RENAL CARE GROUP-SOUTHEAST TYLER,452883,0.005,53
DALLAS NORTH DIALYSIS CENTER,452884,0.005,58
TRC KILGORE DIALYSIS CENTER,452885,0.005,49
DAVITA PHYSICIANS DIALYSIS SOUTH HOUSTON,452886,0.005,54
RENAL CENTER OF CARROLLTON,452887,0.005,50
CUERO LAKEVIEW KIDNEY CENTER LLC,452889,0.005,55
USRC EDINBURG,452890,0,79
RENAL CARE GROUP - GILMER,452891,0.01,48
SOUTH AUSTIN DIALYSIS LLC,452892,0.005,51
PINECREST DIALYSIS CENTER,452893,0.005,52
OAK CLIFF DIALYSIS,452894,0,85
US RENAL CARE BANDERA ROAD DIALYSIS,452895,0,68
USRC TARRANT DIALYSIS CENTER MANSFIELD,452896,0.01,48
GILMER DIALYSIS,452897,0,62
RIVER PARK DIALYSIS,452898,0.005,55
DOWNTOWN HOUSTON DIALYSIS CENTER,452899,0,65
"GILWARDS DIALYSIS, LLC",452947,0.02,21
UNIVERSITY DIALYSIS WEST,453500,0,90
SCOTT & WHITE KILLEEN DIALYSIS CENTER,453501,0,65
SCOTT & WHITE ARTIFICAL KIDNEY UNIT,453502,0.01,42
SCOTT & WHITE ROUND ROCK DIALYSIS CENTER,453503,0,61
UNIVERSITY DIALYSIS SOUTHEAST,453504,0,83
SCOTT & WHITE KILLEEN DIALYSIS WEST,453509,0.01,40
RIVERSIDE DIALYSIS CENTER,453511,0,67
UNIVERSITY DIALYSIS SOUTH,453512,0,88
